part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,300,0.000,1,0.000,0,0.990,1.000,0.01,0,0.000,4,0.997,1.000,0.0033333333333333,0,0.000,1,0.863,1.000,0.13666666666667,0,0.000,-1,0.907,1.000,0.093333333333333,0,0.000,1,0.863,1.000,0.13666666666667,0,0.000,1,0.863,1.000,0.13666666666667,0,0.000,1,0.863,1.000,0.13666666666667,0
0,100,0,300,0.000,2,0.000,0,0.980,1.000,0.02,0,0.000,4,0.990,1.000,0.01,0,0.000,2,0.857,1.000,0.14333333333333,0,0.000,-1,0.863,1.000,0.13666666666667,0,0.000,2,0.857,1.000,0.14333333333333,0,0.000,2,0.857,1.000,0.14333333333333,0,0.656,1,0.403,0.343,0.59666666666667,0.72539058369028
0,100,0,300,0.000,3,0.000,0,0.863,1.000,0.13666666666667,0,0.000,5,0.990,1.000,0.01,0,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.000,-1,0.850,1.000,0.15,0.004095321656624,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.521,2,0.503,0.480,0.49666666666667,0.54319133608983
0,100,0,300,0.000,4,0.095,0,0.707,0.907,0.29333333333333,0.21848436029841,1.000,1,0.077,0.000,0.92333333333333,1,0.000,4,0.857,1.000,0.14333333333333,0,0.003,-1,0.860,0.997,0.14,0,0.868,2,0.337,0.133,0.66333333333333,0.80833645861656,0.000,4,0.857,1.000,0.14333333333333,0,0.302,3,0.607,0.697,0.39333333333333,0.36735184196476
0,100,0,300,0.000,5,0.221,0,0.707,0.780,0.29333333333333,0.21848436029841,0.016,5,0.830,0.983,0.17,0.0090542346385618,0.016,5,0.830,0.983,0.17,0.0090542346385618,0.083,-1,0.813,0.917,0.18666666666667,0.058939029216151,0.043,4,0.757,0.957,0.24333333333333,0.058537702188392,0.016,5,0.830,0.983,0.17,0.0090542346385618,0.325,3,0.633,0.677,0.36666666666667,0.32154297917779
0,100,0,300,0.000,6,0.016,0,0.747,0.983,0.25333333333333,0.15865486114256,0.000,5,0.927,1.000,0.073333333333333,0,0.012,6,0.937,0.987,0.063333333333333,0.024256522132656,0.000,-1,0.920,1.000,0.08,0,0.012,6,0.937,0.987,0.063333333333333,0.024256522132656,0.012,6,0.937,0.987,0.063333333333333,0.024256522132656,0.664,2,0.420,0.337,0.58,0.6757638973532
0,100,0,300,0.000,1,0.000,0,0.993,1.000,0.0066666666666667,0,0.000,4,0.993,1.000,0.0066666666666667,0,0.000,1,0.823,1.000,0.17666666666667,0.022159470601489,0.000,-1,0.873,1.000,0.12666666666667,0,0.000,1,0.823,1.000,0.17666666666667,0.022159470601489,0.000,1,0.823,1.000,0.17666666666667,0.022159470601489,0.000,1,0.823,1.000,0.17666666666667,0.022159470601489
0,100,0,300,0.000,2,0.000,0,0.960,1.000,0.04,0,0.000,6,1.000,1.000,0,0,0.003,2,0.833,0.997,0.16666666666667,0.01820399348691,0.000,-1,0.840,1.000,0.16,0.019052696445586,0.740,1,0.367,0.260,0.63333333333333,0.78678377610279,0.003,2,0.833,0.997,0.16666666666667,0.01820399348691,0.740,1,0.367,0.260,0.63333333333333,0.78678377610279
0,100,0,300,0.000,3,0.000,0,0.893,1.000,0.10666666666667,0,1.000,1,0.163,0.000,0.83666666666667,1,0.000,3,0.847,1.000,0.15333333333333,0,0.000,-1,0.883,1.000,0.11666666666667,0,0.000,3,0.847,1.000,0.15333333333333,0,0.000,3,0.847,1.000,0.15333333333333,0,0.455,2,0.543,0.543,0.45666666666667,0.47955650668342
0,100,0,300,0.000,4,0.139,0,0.680,0.860,0.32,0.25837069306898,0.061,6,0.830,0.940,0.17,0.14485774818755,0.000,4,0.823,1.000,0.17666666666667,0,0.030,-1,0.813,0.970,0.18666666666667,0.058939029216151,0.000,4,0.823,1.000,0.17666666666667,0,0.000,4,0.823,1.000,0.17666666666667,0,0.366,3,0.603,0.633,0.39666666666667,0.37307794981313
0,100,0,300,0.000,5,0.275,0,0.610,0.723,0.39,0.36307231659171,1.000,1,0.110,0.000,0.89,1,0.012,5,0.807,0.987,0.19333333333333,0.042253094979955,0.092,-1,0.770,0.907,0.23,0.12375431996832,0.857,2,0.307,0.143,0.69333333333333,0.85606258067137,0.857,2,0.307,0.143,0.69333333333333,0.85606258067137,0.400,3,0.597,0.600,0.40333333333333,0.38453016550988
0,100,0,300,0.000,6,0.000,0,0.780,1.000,0.22,0.10879694517936,0.000,4,0.880,1.000,0.12,0,0.003,6,0.937,0.997,0.063333333333333,0.024256522132656,0.000,-1,0.930,1.000,0.07,0,0.003,6,0.937,0.997,0.063333333333333,0.024256522132656,0.003,6,0.937,0.997,0.063333333333333,0.024256522132656,0.539,2,0.503,0.460,0.49666666666667,0.54319133608983
0,100,0,300,0.000,1,0.000,0,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.000,1,0.860,1.000,0.14,0,0.000,-1,0.893,1.000,0.10666666666667,0,0.000,1,0.860,1.000,0.14,0,0.000,1,0.860,1.000,0.14,0,0.000,1,0.860,1.000,0.14,0
0,100,0,300,0.000,2,0.000,0,0.990,1.000,0.01,0,0.000,3,0.970,1.000,0.03,0,0.000,2,0.857,1.000,0.14333333333333,0,0.000,-1,0.873,1.000,0.12666666666667,0,0.000,2,0.857,1.000,0.14333333333333,0,0.000,2,0.857,1.000,0.14333333333333,0,0.675,1,0.410,0.323,0.59,0.71422818506982
0,100,0,300,0.000,3,0.000,0,0.873,1.000,0.12666666666667,0,0.000,4,0.950,1.000,0.05,0,0.000,3,0.870,1.000,0.13,0,0.000,-1,0.900,1.000,0.1,0,0.000,3,0.870,1.000,0.13,0,0.000,3,0.870,1.000,0.13,0,0.470,2,0.533,0.530,0.46666666666667,0.49546521403502
0,100,0,300,0.000,4,0.106,0,0.700,0.893,0.3,0.22845594349105,0.000,5,0.847,1.000,0.15333333333333,0,0.000,4,0.833,1.000,0.16666666666667,0,0.027,-1,0.813,0.973,0.18666666666667,0.058939029216151,0.000,4,0.833,1.000,0.16666666666667,0,0.000,4,0.833,1.000,0.16666666666667,0,0.258,3,0.643,0.743,0.35666666666667,0.30436465563267
