part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,300,0.000,1,0.132,0,0.753,0.867,0.24666666666667,0.2364582575451,0.657,4,0.397,0.343,0.60333333333333,0.6047063482335,0.000,1,0.973,1.000,0.026666666666667,0,0.001,-1,0.963,1.000,0.036666666666667,0.019291310782738,0.000,1,0.973,1.000,0.026666666666667,0,0.000,1,0.973,1.000,0.026666666666667,0,0.386,3,0.527,0.613,0.47333333333333,0.46869065249586
0,100,0,300,0.000,2,0.000,0,0.970,1.000,0.03,0.012397121996631,0.042,4,0.913,0.957,0.086666666666667,0.076429775816513,0.004,2,0.990,0.997,0.01,0,0.003,-1,0.983,0.997,0.016666666666667,0,0.004,2,0.990,0.997,0.01,0,0.004,2,0.990,0.997,0.01,0,0.466,6,0.557,0.533,0.44333333333333,0.44107480141789
0,100,0,300,0.000,3,0.000,0,0.993,1.000,0.0066666666666667,0,0.015,5,0.953,0.983,0.046666666666667,0.037159788108297,0.000,3,0.990,1.000,0.01,0,0.000,-1,0.997,1.000,0.0033333333333333,0,0.000,3,0.990,1.000,0.01,0,0.000,3,0.990,1.000,0.01,0,0.046,6,0.903,0.953,0.096666666666667,0.090467079669905
0,100,0,300,0.000,4,0.000,0,0.993,1.000,0.0066666666666667,0,0.000,1,0.900,1.000,0.1,0.063638630837334,0.000,4,0.990,1.000,0.01,0,0.000,-1,0.993,1.000,0.0066666666666667,0,0.000,5,0.987,1.000,0.013333333333333,0.0033130906293584,0.000,4,0.990,1.000,0.01,0,0.000,2,0.987,1.000,0.013333333333333,0
0,100,0,300,0.000,5,0.000,0,0.993,1.000,0.0066666666666667,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,-1,0.993,1.000,0.0066666666666667,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,2,0.953,1.000,0.046666666666667,0.03321108289746
0,100,0,300,0.000,6,0.000,0,1.000,1.000,0,0,0.000,5,0.997,1.000,0.0033333333333333,0,0.000,6,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,2,0.857,1.000,0.14333333333333,0.13269289326576
0,100,0,300,0.000,1,0.147,0,0.743,0.853,0.25666666666667,0.24679954072426,0.620,4,0.400,0.380,0.6,0.60129811228242,0.001,1,0.963,1.000,0.036666666666667,0,0.023,-1,0.953,0.977,0.046666666666667,0.029632593961898,0.001,1,0.963,1.000,0.036666666666667,0,0.001,1,0.963,1.000,0.036666666666667,0,0.620,4,0.400,0.380,0.6,0.60129811228242
0,100,0,300,0.000,2,0.000,0,0.983,1.000,0.016666666666667,0,0.505,6,0.517,0.497,0.48333333333333,0.48152953854266,0.000,2,0.993,1.000,0.0066666666666667,0,0.000,-1,0.983,1.000,0.016666666666667,0,0.000,2,0.993,1.000,0.0066666666666667,0,0.000,2,0.993,1.000,0.0066666666666667,0,0.253,5,0.680,0.747,0.32,0.3147027074356
0,100,0,300,0.000,3,0.000,0,0.997,1.000,0.0033333333333333,0,0.000,1,0.973,1.000,0.026666666666667,0,0.000,3,0.990,1.000,0.01,0,0.000,-1,0.997,1.000,0.0033333333333333,0,0.000,3,0.990,1.000,0.01,0,0.000,3,0.990,1.000,0.01,0,0.037,6,0.903,0.963,0.096666666666667,0.090467079669905
0,100,0,300,0.000,4,0.000,0,0.990,1.000,0.01,0,0.010,6,0.980,0.990,0.02,0.012928833514101,0.000,4,0.990,1.000,0.01,0,0.000,-1,0.990,1.000,0.01,0,0.000,4,0.990,1.000,0.01,0,0.000,4,0.990,1.000,0.01,0,0.000,2,0.983,1.000,0.016666666666667,0.0023374176107451
0,100,0,300,0.000,5,0.000,0,0.990,1.000,0.01,0,0.000,1,0.787,1.000,0.21333333333333,0.18465989151443,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,-1,0.990,1.000,0.01,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.000,5,0.993,1.000,0.0066666666666667,0,0.017,6,0.967,0.983,0.033333333333333,0.026413745889023
0,100,0,300,0.000,6,0.000,0,0.993,1.000,0.0066666666666667,0,0.000,4,0.987,1.000,0.013333333333333,0.0014485848928114,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,-1,0.993,1.000,0.0066666666666667,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.016,2,0.850,0.983,0.15,0.13955370777392
0,100,0,300,0.000,1,0.130,0,0.760,0.870,0.24,0.22956406875899,0.849,5,0.190,0.150,0.81,0.812249160376,0.000,1,0.970,1.000,0.03,0,0.009,-1,0.967,0.990,0.033333333333333,0.015844216389685,0.000,1,0.970,1.000,0.03,0,0.000,1,0.970,1.000,0.03,0,0.631,4,0.410,0.370,0.59,0.59107340442919
0,100,0,300,0.000,2,0.000,0,0.957,1.000,0.043333333333333,0.026185499568845,0.039,3,0.913,0.960,0.086666666666667,0.074074396724453,0.013,2,0.977,0.987,0.023333333333333,0.009198232118904,0.011,-1,0.963,0.990,0.036666666666667,0.019291310782738,0.013,2,0.977,0.987,0.023333333333333,0.009198232118904,0.013,2,0.977,0.987,0.023333333333333,0.009198232118904,0.287,5,0.663,0.713,0.33666666666667,0.33162605617507
0,100,0,300,0.000,3,0.000,0,0.993,1.000,0.0066666666666667,0,0.002,4,0.977,0.997,0.023333333333333,0.011673292746043,0.000,3,0.987,1.000,0.013333333333333,0,0.000,-1,0.993,1.000,0.0066666666666667,0,0.000,3,0.987,1.000,0.013333333333333,0,0.000,3,0.987,1.000,0.013333333333333,0,0.034,6,0.897,0.967,0.10333333333333,0.097209535857366
0,100,0,300,0.000,4,0.000,0,0.987,1.000,0.013333333333333,0,0.000,5,0.990,1.000,0.01,0,0.000,4,0.990,1.000,0.01,0,0.000,-1,0.987,1.000,0.013333333333333,0,0.000,4,0.990,1.000,0.01,0,0.000,4,0.990,1.000,0.01,0,0.000,2,0.977,1.000,0.023333333333333,0.009198232118904
0,100,0,300,0.000,5,0.000,0,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.000,-1,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.013,6,0.967,0.987,0.033333333333333,0.026413745889023
0,100,0,300,0.000,6,0.000,0,1.000,1.000,0,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,-1,1.000,1.000,0,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,2,0.857,1.000,0.14333333333333,0.13269289326576
0,100,0,300,0.000,1,0.151,0,0.707,0.850,0.29333333333333,0.28471757904785,0.917,6,0.137,0.083,0.86333333333333,0.86584954122795,0.000,1,0.963,1.000,0.036666666666667,0,0.018,-1,0.957,0.983,0.043333333333333,0.026185499568845,0.000,1,0.963,1.000,0.036666666666667,0,0.000,1,0.963,1.000,0.036666666666667,0,0.406,3,0.560,0.593,0.44,0.43467200975695
0,100,0,300,0.000,2,0.000,0,0.983,1.000,0.016666666666667,0,0.493,6,0.497,0.507,0.50333333333333,0.50175690710504,0.000,2,0.997,1.000,0.0033333333333333,0,0.000,-1,0.987,1.000,0.013333333333333,0,0.000,2,0.997,1.000,0.0033333333333333,0,0.000,2,0.997,1.000,0.0033333333333333,0,0.493,6,0.497,0.507,0.50333333333333,0.50175690710504
0,100,0,300,0.000,3,0.000,0,0.993,1.000,0.0066666666666667,0,0.000,4,0.993,1.000,0.0066666666666667,0,0.000,3,0.987,1.000,0.013333333333333,0,0.000,-1,0.993,1.000,0.0066666666666667,0,0.000,4,0.993,1.000,0.0066666666666667,0,0.000,3,0.987,1.000,0.013333333333333,0,0.023,6,0.927,0.977,0.073333333333333,0.066868483013791
0,100,0,300,0.000,4,0.000,0,0.983,1.000,0.016666666666667,0,0.000,1,0.900,1.000,0.1,0.063638630837334,0.000,4,0.980,1.000,0.02,0.0082650567949661,0.000,-1,0.983,1.000,0.016666666666667,0,0.000,4,0.980,1.000,0.02,0.0082650567949661,0.000,4,0.980,1.000,0.02,0.0082650567949661,0.000,2,0.977,1.000,0.023333333333333,0.009198232118904
0,100,0,300,0.000,5,0.000,0,0.987,1.000,0.013333333333333,0,0.000,4,0.987,1.000,0.013333333333333,0.0014485848928114,0.000,5,0.990,1.000,0.01,0,0.000,-1,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.000,5,0.990,1.000,0.01,0,0.018,6,0.960,0.983,0.04,0.033156202076485
0,100,0,300,0.000,6,0.000,0,0.997,1.000,0.0033333333333333,0,0.000,4,0.997,1.000,0.0033333333333333,0,0.000,6,0.993,1.000,0.0066666666666667,0,0.000,-1,0.997,1.000,0.0033333333333333,0,0.000,6,0.993,1.000,0.0066666666666667,0,0.000,6,0.993,1.000,0.0066666666666667,0,0.000,2,0.890,1.000,0.11,0.09838882072497
0,100,0,300,0.000,1,0.098,0,0.773,0.903,0.22666666666667,0.21577569118678,0.886,6,0.183,0.113,0.81666666666667,0.81865234791572,0.000,1,0.977,1.000,0.023333333333333,0,0.004,-1,0.970,0.997,0.03,0.012397121996631,0.000,1,0.977,1.000,0.023333333333333,0,0.000,1,0.977,1.000,0.023333333333333,0,0.557,4,0.447,0.443,0.55333333333333,0.55358280896734
0,100,0,300,0.000,2,0.000,0,0.973,1.000,0.026666666666667,0.0089500276035781,0.040,4,0.887,0.960,0.11333333333333,0.10369566342513,0.003,2,0.987,0.997,0.013333333333333,0,0.002,-1,0.987,0.997,0.013333333333333,0,0.003,2,0.987,0.997,0.013333333333333,0,0.003,2,0.987,0.997,0.013333333333333,0,0.264,5,0.677,0.737,0.32333333333333,0.31808737718349
