part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,100,0.000,1,0.000,0,0.630,1.000,0.37,0,0.000,1,0.550,1.000,0.45,0,0.000,1,0.550,1.000,0.45,0,0.115,-1,0.590,0.880,0.41,0,0.000,1,0.550,1.000,0.45,0,0.000,1,0.550,1.000,0.45,0,0.000,1,0.550,1.000,0.45,0
0,100,0,100,0.000,2,0.083,0,0.600,0.920,0.4,0,0.000,2,0.640,1.000,0.36,0,0.000,2,0.640,1.000,0.36,0,0.000,-1,0.660,1.000,0.34,0,0.000,2,0.640,1.000,0.36,0,0.583,1,0.370,0.420,0.63,0.771875,0.583,1,0.370,0.420,0.63,0.771875
0,100,0,100,0.000,1,0.000,0,0.690,1.000,0.31,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0,0.000,-1,0.630,1.000,0.37,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0
0,100,0,100,0.000,2,0.161,0,0.560,0.840,0.44,0.0051643192488262,0.006,2,0.640,0.990,0.36,0,0.006,2,0.640,0.990,0.36,0,0.000,-1,0.650,1.000,0.35,0,0.800,1,0.340,0.200,0.66,0.95,0.800,1,0.340,0.200,0.66,0.95,0.800,1,0.340,0.200,0.66,0.95
0,100,0,100,0.000,1,0.000,0,0.660,1.000,0.34,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0,0.042,-1,0.630,0.960,0.37,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0,0.000,1,0.600,1.000,0.4,0
0,100,0,100,0.000,2,0.308,0,0.570,0.690,0.43,0,0.068,2,0.600,0.930,0.4,0.063237518910741,0.068,2,0.600,0.930,0.4,0.063237518910741,0.006,-1,0.610,0.990,0.39,0,0.879,1,0.360,0.120,0.64,0.83125,0.879,1,0.360,0.120,0.64,0.83125,0.879,1,0.360,0.120,0.64,0.83125
0,100,0,100,0.000,1,0.000,0,0.650,1.000,0.35,0,0.000,2,0.800,1.000,0.2,0,0.000,1,0.570,1.000,0.43,0,0.068,-1,0.630,0.930,0.37,0,0.000,1,0.570,1.000,0.43,0,0.000,1,0.570,1.000,0.43,0,0.000,1,0.570,1.000,0.43,0
0,100,0,100,0.000,2,0.083,0,0.600,0.920,0.4,0,0.772,1,0.390,0.230,0.61,0.653125,0.000,2,0.630,1.000,0.37,0,0.000,-1,0.630,1.000,0.37,0,0.772,1,0.390,0.230,0.61,0.653125,0.772,1,0.390,0.230,0.61,0.653125,0.772,1,0.390,0.230,0.61,0.653125
0,100,0,100,0.000,1,0.000,0,0.660,1.000,0.34,0,0.000,2,0.870,1.000,0.13,0,0.000,1,0.560,1.000,0.44,0,0.023,-1,0.600,0.980,0.4,0,0.000,1,0.560,1.000,0.44,0,0.000,1,0.560,1.000,0.44,0,0.000,1,0.560,1.000,0.44,0
0,100,0,100,0.000,2,0.115,0,0.600,0.880,0.4,0,0.718,1,0.380,0.280,0.62,0.7125,0.072,2,0.650,0.930,0.35,0,0.000,-1,0.640,1.000,0.36,0,0.718,1,0.380,0.280,0.62,0.7125,0.718,1,0.380,0.280,0.62,0.7125,0.718,1,0.380,0.280,0.62,0.7125
