part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,80,0.000,1,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0
0,100,0,80,0.000,2,0.000,0,0.963,1.000,0.0375,0.03192596277725,0.000,8,0.963,1.000,0.0375,0.0375,0.000,2,1.000,1.000,0,0,0.000,-1,0.963,1.000,0.0375,0.03192596277725,0.000,2,1.000,1.000,0,0,0.000,2,1.000,1.000,0,0,0.000,2,1.000,1.000,0,0
0,100,0,80,0.000,3,0.000,0,1.000,1.000,0,0,0.000,5,1.000,1.000,0,0,0.000,3,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,3,1.000,1.000,0,0,0.000,3,1.000,1.000,0,0,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,4,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,5,0.014,0,0.975,0.988,0.025,0.019261744763472,0.000,7,0.963,1.000,0.0375,0.0375,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.014,-1,0.975,0.988,0.025,0.019261744763472,0.019,9,0.950,0.975,0.05,0.0405,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.019,9,0.950,0.975,0.05,0.0405
0,100,0,80,0.000,6,0.000,0,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0
0,100,0,80,0.000,7,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.001,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,8,0.000,0,1.000,1.000,0,0,0.000,8,0.988,1.000,0.0125,0.0125,0.000,8,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,8,0.988,1.000,0.0125,0.0125,0.000,8,0.988,1.000,0.0125,0.0125,0.898,3,0.275,0.100,0.725,0.725
0,100,0,80,0.000,9,0.000,0,1.000,1.000,0,0,0.156,2,0.537,0.838,0.4625,0.4619082080493,0.000,9,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,10,0.000,0,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,1,0.000,0,1.000,1.000,0,0,0.000,5,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,2,0.000,0,0.963,1.000,0.0375,0.03192596277725,0.011,5,0.925,0.988,0.075,0.056510416666667,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.001,-1,0.963,1.000,0.0375,0.03192596277725,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.000,2,0.988,1.000,0.0125,0.0031258754318797
0,100,0,80,0.000,3,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,3,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,8,1.000,1.000,0,0,0.000,3,0.988,1.000,0.0125,0.0125,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,4,0.000,0,1.000,1.000,0,0,0.000,8,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,5,0.014,0,0.975,0.988,0.025,0.019261744763472,0.000,4,0.963,1.000,0.0375,0.0375,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.014,-1,0.975,0.988,0.025,0.019261744763472,0.019,9,0.963,0.975,0.0375,0.027875,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.019,9,0.963,0.975,0.0375,0.027875
0,100,0,80,0.000,6,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0
0,100,0,80,0.000,7,0.000,0,1.000,1.000,0,0,0.000,1,0.988,1.000,0.0125,0.0125,0.000,7,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.001,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,8,0.000,0,1.000,1.000,0,0,0.904,3,0.237,0.100,0.7625,0.7625,0.000,8,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,8,0.988,1.000,0.0125,0.0125,0.000,8,0.988,1.000,0.0125,0.0125,0.904,3,0.237,0.100,0.7625,0.7625
0,100,0,80,0.000,9,0.000,0,1.000,1.000,0,0,0.000,5,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,10,0.000,0,1.000,1.000,0,0,0.000,3,0.963,1.000,0.0375,0.0375,0.000,10,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,1,0.000,0,1.000,1.000,0,0,0.358,2,0.388,0.637,0.6125,0.61483565225511,0.000,1,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,2,0.000,0,0.938,1.000,0.0625,0.057254398804807,0.000,4,0.912,1.000,0.0875,0.0875,0.001,2,0.988,1.000,0.0125,0.0031258754318797,0.001,-1,0.938,1.000,0.0625,0.057254398804807,0.001,2,0.988,1.000,0.0125,0.0031258754318797,0.001,2,0.988,1.000,0.0125,0.0031258754318797,0.001,2,0.988,1.000,0.0125,0.0031258754318797
0,100,0,80,0.000,3,0.000,0,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,3,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,3,0.988,1.000,0.0125,0.0125,0.000,3,0.988,1.000,0.0125,0.0125,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,4,0.000,0,1.000,1.000,0,0,0.000,10,0.975,1.000,0.025,0.025,0.000,4,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,10,0.975,1.000,0.025,0.025
0,100,0,80,0.000,5,0.014,0,0.975,0.988,0.025,0.019261744763472,0.019,9,0.938,0.975,0.0625,0.053125,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.014,-1,0.975,0.988,0.025,0.019261744763472,0.019,9,0.938,0.975,0.0625,0.053125,0.000,5,0.975,1.000,0.025,0.0049479166666667,0.019,9,0.938,0.975,0.0625,0.053125
0,100,0,80,0.000,6,0.000,0,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125,0.000,6,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0
0,100,0,80,0.000,7,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.000,7,1.000,1.000,0,0,0.001,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,8,0.000,0,1.000,1.000,0,0,0.000,7,0.925,1.000,0.075,0.075,0.000,8,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,8,0.988,1.000,0.0125,0.0125,0.000,8,0.988,1.000,0.0125,0.0125,0.920,3,0.212,0.075,0.7875,0.7875
0,100,0,80,0.000,9,0.000,0,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,10,0.000,0,1.000,1.000,0,0,0.008,5,0.975,0.988,0.025,0.0049479166666667,0.000,10,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,1,0.000,0,1.000,1.000,0,0,0.000,5,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,2,0.000,0,0.950,1.000,0.05,0.044590180791029,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.001,-1,0.950,1.000,0.05,0.044590180791029,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.000,2,0.988,1.000,0.0125,0.0031258754318797,0.000,2,0.988,1.000,0.0125,0.0031258754318797
0,100,0,80,0.000,3,0.000,0,1.000,1.000,0,0,0.000,9,0.963,1.000,0.0375,0.027875,0.000,3,0.988,1.000,0.0125,0.0125,0.000,-1,1.000,1.000,0,0,0.000,3,0.988,1.000,0.0125,0.0125,0.000,3,0.988,1.000,0.0125,0.0125,0.000,10,1.000,1.000,0,0
0,100,0,80,0.000,4,0.000,0,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,1,1.000,1.000,0,0,0.000,4,1.000,1.000,0,0,0.000,10,0.988,1.000,0.0125,0.0125
0,100,0,80,0.000,5,0.000,0,0.988,1.000,0.0125,0.006597526749693,0.000,4,0.963,1.000,0.0375,0.0375,0.000,5,0.988,1.000,0.0125,0,0.000,-1,0.988,1.000,0.0125,0.006597526749693,0.000,5,0.988,1.000,0.0125,0,0.000,5,0.988,1.000,0.0125,0,0.018,10,0.938,0.988,0.0625,0.0625
0,100,0,80,0.000,6,0.000,0,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,-1,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,6,1.000,1.000,0,0,0.000,9,1.000,1.000,0,0
