part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,300,0.000,1,0.000,0,0.850,1.000,0.15,0,0.000,2,0.970,1.000,0.03,0,0.000,1,0.843,1.000,0.15666666666667,0,0.000,-1,0.857,1.000,0.14333333333333,0,0.000,1,0.843,1.000,0.15666666666667,0,0.000,1,0.843,1.000,0.15666666666667,0,0.000,1,0.843,1.000,0.15666666666667,0
0,100,0,300,0.000,2,0.000,0,0.673,1.000,0.32666666666667,0.0052991317055752,0.000,2,0.667,1.000,0.33333333333333,0,0.000,2,0.667,1.000,0.33333333333333,0,0.000,-1,0.677,1.000,0.32333333333333,0,0.000,2,0.667,1.000,0.33333333333333,0,0.000,2,0.667,1.000,0.33333333333333,0,0.301,1,0.670,0.700,0.33,0.21732948854471
0,100,0,300,0.000,1,0.000,0,0.817,1.000,0.18333333333333,0,0.000,1,0.817,1.000,0.18333333333333,0,0.000,1,0.817,1.000,0.18333333333333,0,0.000,-1,0.823,1.000,0.17666666666667,0,0.000,1,0.817,1.000,0.18333333333333,0,0.000,1,0.817,1.000,0.18333333333333,0,0.000,1,0.817,1.000,0.18333333333333,0
0,100,0,300,0.000,2,0.000,0,0.647,1.000,0.35333333333333,0.054892532247828,0.549,1,0.640,0.450,0.36,0.26970383881409,0.000,2,0.647,1.000,0.35333333333333,0,0.000,-1,0.650,1.000,0.35,0.048693357180046,0.000,2,0.647,1.000,0.35333333333333,0,0.000,2,0.647,1.000,0.35333333333333,0,0.549,1,0.640,0.450,0.36,0.26970383881409
0,100,0,300,0.000,1,0.000,0,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0,0.000,-1,0.837,1.000,0.16333333333333,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0
0,100,0,300,0.000,2,0.015,0,0.657,0.987,0.34333333333333,0.036295007044483,0.000,2,0.657,1.000,0.34333333333333,0,0.000,2,0.657,1.000,0.34333333333333,0,0.010,-1,0.660,0.990,0.34,0.030095831976702,0.000,2,0.657,1.000,0.34333333333333,0,0.000,2,0.657,1.000,0.34333333333333,0,0.707,1,0.627,0.293,0.37333333333333,0.2929813278227
0,100,0,300,0.000,1,0.000,0,0.833,1.000,0.16666666666667,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0,0.000,-1,0.840,1.000,0.16,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0,0.000,1,0.830,1.000,0.17,0
0,100,0,300,0.000,2,0.028,0,0.657,0.973,0.34333333333333,0.036295007044483,0.000,2,0.657,1.000,0.34333333333333,0,0.000,2,0.657,1.000,0.34333333333333,0,0.029,-1,0.650,0.970,0.35,0.048693357180046,0.000,2,0.657,1.000,0.34333333333333,0,0.000,2,0.657,1.000,0.34333333333333,0,0.711,1,0.667,0.290,0.33333333333333,0.22314886079686
0,100,0,300,0.000,1,0.000,0,0.830,1.000,0.17,0,0.000,1,0.827,1.000,0.17333333333333,0,0.000,1,0.827,1.000,0.17333333333333,0,0.000,-1,0.837,1.000,0.16333333333333,0,0.000,1,0.827,1.000,0.17333333333333,0,0.000,1,0.827,1.000,0.17333333333333,0,0.000,1,0.827,1.000,0.17333333333333,0
0,100,0,300,0.000,2,0.017,0,0.637,0.983,0.36333333333333,0.073490057451173,0.000,2,0.637,1.000,0.36333333333333,0,0.000,2,0.637,1.000,0.36333333333333,0,0.017,-1,0.640,0.983,0.36,0.067290882383391,0.000,2,0.637,1.000,0.36333333333333,0,0.000,2,0.637,1.000,0.36333333333333,0,0.610,1,0.617,0.390,0.38333333333333,0.31043944457916
